sample_1,sample_2,true_label,predicted_label,distance
W016/S01_N,W027/S01_N,1,1,1.2750049
W064/S01_F,W064/S01_N,0,0,0.73592716
W027/S02_F,W027/S03_F,0,0,0.17516519
W065/S01_F,W065/S02_F,0,0,0.26298645
W048/S01_N,W048/S03_F,0,0,0.51732635
W084/S01_F,W084/S02_F,0,0,0.3255301
W013/S02_F,W013/S03_F,0,0,0.32943934
W078/S01_N,W078/S03_N,0,0,0.06756758
W027/S03_F,W013/S01_F,1,0,0.4491646
W032/S01_F,W016/S03_N,1,1,1.2625821
W048/S01_F,W048/S01_N,0,0,0.20773542
W084/S01_F,W078/S02_F,1,1,1.3983296
W016/S02_F,W016/S03_N,0,1,0.8869072
W016/S03_F,W016/S03_N,0,0,0.692004
W101/S02_N,W078/S01_F,1,1,1.0595981
W078/S01_F,W013/S01_F,1,1,0.9575699
W098/S01_F,W064/S01_N,1,1,1.0992417
W048/S01_F,W048/S03_N,0,0,0.2699833
W083/S02_F,W084/S01_N,1,1,1.0899241
W094/S02_F,W094/S02_N,0,0,0.29010874
W048/S01_F,W048/S03_F,0,0,0.38369828
W082/S02_F,W082/S02_N,0,1,0.9159318
W094/S02_F,W094/S03_F,0,0,0.16423431
W056/S01_N,W032/S03_F,1,1,1.3801978
W098/S01_N,W065/S03_F,1,1,1.0438383
W101/S02_F,W098/S03_F,1,1,0.75157833
W098/S03_F,W083/S03_F,1,0,0.7092901
W078/S02_F,W027/S02_F,1,1,0.9166302
W078/S01_F,W078/S03_N,0,0,0.28272882
W082/S02_F,W082/S03_F,0,0,0.24288769
W082/S03_F,W064/S02_N,1,1,1.3554757
W094/S02_N,W094/S03_N,0,0,0.20429187
W064/S01_F,W082/S02_N,1,0,0.6795944
W101/S01_N,W084/S03_F,1,1,1.1778836
W101/S01_F,W101/S03_F,0,0,0.51277405
W032/S03_F,W064/S03_F,1,1,0.8882327
W048/S03_F,W048/S03_N,0,0,0.5371537
W082/S03_N,W032/S02_F,1,0,0.29452348
W082/S01_F,W082/S01_N,0,0,0.5554828
W094/S01_N,W094/S03_F,0,0,0.5675472
W098/S02_F,W098/S02_N,0,0,0.2658847
W101/S01_F,W101/S01_N,0,0,0.2612946
W083/S03_F,W016/S01_N,1,1,1.1410288
W082/S02_N,W082/S03_F,0,1,1.0191927
W032/S01_F,W101/S02_F,1,1,0.9170082
W064/S01_N,W064/S03_F,0,0,0.46843612
W056/S02_N,W094/S02_F,1,1,1.1438073
W027/S01_F,W027/S02_N,0,0,0.42148438
W094/S01_F,W084/S02_N,1,1,1.3643327
W082/S02_F,W064/S03_N,1,1,1.2642473
W098/S02_N,W098/S03_F,0,0,0.64739466
W064/S02_F,W064/S03_F,0,0,0.27274492
W098/S02_N,W016/S01_F,1,1,0.9369545
W082/S01_F,W083/S01_F,1,1,1.1198748
W016/S01_F,W082/S02_F,1,1,1.0694056
W078/S01_N,W078/S02_F,0,0,0.24279423
W083/S01_F,W083/S02_N,0,0,0.47236407
W064/S01_F,W064/S03_N,0,0,0.64483273
W084/S01_F,W083/S01_N,1,1,1.3098254
W084/S01_N,W084/S03_F,0,1,1.0873109
W056/S01_F,W048/S02_F,1,1,0.84686226
W098/S02_F,W013/S02_F,1,0,0.32417598
W048/S01_F,W048/S02_F,0,0,0.40561518
W078/S02_N,W013/S03_F,1,1,0.8715651
W101/S01_F,W094/S01_F,1,0,0.65350926
W082/S02_N,W082/S03_N,0,0,0.609085
W083/S02_F,W032/S01_F,1,1,1.2951916
W094/S01_F,W094/S02_N,0,0,0.09503726
W013/S01_F,W013/S03_F,0,0,0.37544107
W065/S01_N,W048/S03_N,1,1,0.82149833
W048/S02_N,W048/S03_F,0,0,0.46583402
W013/S03_F,W082/S01_N,1,1,0.74502677
W083/S03_F,W101/S02_F,1,1,0.8114339
W101/S02_N,W101/S03_F,0,0,0.6679206
W098/S01_F,W027/S03_F,1,0,0.63898534
W032/S03_N,W064/S02_N,1,1,0.83642316
W078/S02_N,W078/S03_F,0,0,0.31618503
W027/S01_F,W027/S03_F,0,0,0.16572346
W016/S02_N,W084/S01_F,1,1,1.0152673
W094/S01_N,W094/S02_N,0,0,0.3978787
W098/S02_F,W098/S03_F,0,0,0.56375945
W065/S01_N,W065/S03_N,0,0,0.40858683
W013/S01_N,W083/S02_N,1,1,1.015124
W082/S01_F,W032/S01_F,1,0,0.57344615
W065/S01_F,W016/S01_F,1,1,0.79093874
W098/S02_N,W098/S03_N,0,0,0.20265701
W032/S02_F,W032/S03_F,0,0,0.49189296
W027/S01_N,W083/S03_N,1,1,0.8773718
W056/S01_N,W056/S02_N,0,0,0.54236966
W032/S01_N,W032/S02_N,0,0,0.41403484
W056/S02_N,W078/S02_N,1,1,0.91613615
W056/S03_F,W056/S03_N,0,0,0.33690378
W084/S01_F,W084/S03_F,0,0,0.14980371
W013/S02_F,W101/S01_N,1,0,0.3483658
W065/S02_F,W013/S02_F,1,1,0.98888767
W064/S03_F,W013/S03_F,1,1,0.9118333
W078/S02_F,W078/S03_F,0,0,0.12564322
W084/S02_N,W084/S03_F,0,1,0.9546433
W027/S03_N,W078/S01_N,1,1,1.2776561
W084/S02_N,W101/S02_N,1,1,1.2733203
W094/S02_N,W094/S03_F,0,0,0.20036815
W098/S01_F,W098/S02_F,0,0,0.30700588
W094/S03_N,W064/S01_N,1,1,1.1582098
W082/S01_N,W082/S02_N,0,0,0.67615294
W016/S02_N,W016/S03_F,0,0,0.6583149
W016/S01_N,W083/S02_N,1,1,0.86279315
W101/S01_N,W101/S03_F,0,0,0.52517813
W094/S02_N,W056/S03_F,1,1,1.1844738
W101/S01_F,W101/S02_F,0,0,0.18811202
W082/S01_N,W082/S02_F,0,0,0.34687784
W083/S01_F,W016/S03_N,1,1,1.1441697
W056/S01_N,W056/S02_F,0,0,0.5102273
W056/S01_F,W056/S02_N,0,0,0.32176864
W078/S02_N,W027/S01_N,1,1,0.8936744
W032/S03_F,W101/S03_F,1,1,1.1190263
W013/S01_F,W013/S02_F,0,0,0.29391435
W082/S01_F,W082/S02_F,0,0,0.26405725
W064/S02_N,W065/S01_N,1,0,0.70965254
W013/S01_N,W101/S02_N,1,0,0.49664524
W032/S01_F,W032/S02_N,0,1,1.1191245
W094/S03_N,W048/S02_F,1,1,1.2035685
W098/S01_F,W098/S03_F,0,0,0.6751796
W056/S01_F,W083/S03_N,1,0,0.7190668
W078/S02_F,W056/S01_N,1,1,0.74078774
W083/S01_N,W064/S02_N,1,1,1.1504909
W027/S01_N,W027/S03_F,0,0,0.15531
W094/S02_F,W032/S01_N,1,1,1.3582287
W027/S02_N,W027/S03_F,0,0,0.3096726
W065/S01_N,W065/S02_N,0,0,0.27723214
W056/S02_N,W032/S02_F,1,1,1.0344594
W027/S01_N,W027/S02_N,0,0,0.27636963
W094/S02_N,W078/S03_F,1,0,0.56678474
W027/S02_F,W013/S02_N,1,0,0.69144017
W065/S03_N,W027/S02_N,1,1,1.3102062
W101/S02_N,W083/S01_N,1,1,1.1741254
W064/S01_F,W064/S03_F,0,0,0.38170496
W098/S03_F,W056/S02_F,1,0,0.5941783
W083/S01_N,W048/S03_N,1,1,0.82844424
W084/S01_F,W084/S02_N,0,1,0.92105204
W032/S02_N,W098/S02_F,1,1,1.0513645
W082/S03_F,W084/S01_F,1,1,1.0903
W032/S01_N,W032/S03_N,0,0,0.4517226
W016/S02_F,W013/S01_F,1,0,0.6062629
W013/S01_F,W013/S02_N,0,0,0.5236852
W098/S01_N,W098/S02_N,0,0,0.14293122
W056/S01_F,W056/S01_N,0,0,0.48404974
W101/S01_F,W083/S01_N,1,1,1.1774157
W082/S01_F,W082/S02_N,0,1,1.1052856
W032/S01_N,W032/S03_F,0,1,0.88395435
W027/S03_F,W065/S03_N,1,1,1.3327794
W078/S02_N,W078/S03_N,0,0,0.11524764
W078/S01_F,W078/S01_N,0,0,0.28108978
W082/S01_N,W082/S03_N,0,0,0.50496554
W084/S02_F,W064/S02_F,1,0,0.67280644
W078/S03_N,W048/S03_F,1,1,1.1605918
W083/S01_F,W083/S03_N,0,0,0.4097952
W078/S02_F,W065/S01_F,1,1,1.4205719
W064/S03_F,W083/S03_F,1,1,1.0684619
W016/S01_N,W098/S03_N,1,1,1.1915205
W101/S02_N,W032/S01_N,1,1,0.9683403
W101/S03_F,W094/S03_N,1,0,0.25186822
W013/S01_F,W013/S01_N,0,0,0.456331
W084/S02_N,W084/S03_N,0,0,0.28987947
W094/S03_F,W094/S03_N,0,0,0.30218786
W078/S03_F,W094/S01_F,1,0,0.5191131
W064/S02_N,W056/S02_N,1,1,1.0713514
W084/S02_F,W084/S02_N,0,1,0.8360439
W065/S02_N,W065/S03_N,0,0,0.38558945
W082/S03_F,W065/S03_F,1,1,1.3758299
W101/S02_N,W094/S02_F,1,1,0.9654168
W027/S02_N,W094/S03_N,1,0,0.71861565
W016/S02_F,W016/S02_N,0,1,0.78663874
W013/S03_F,W013/S03_N,0,0,0.5730931
W094/S02_F,W013/S03_F,1,1,0.787691
W098/S03_F,W098/S03_N,0,0,0.6622718
W101/S03_N,W016/S02_F,1,0,0.6813934
W032/S03_F,W101/S02_N,1,1,0.88944024
W048/S03_F,W094/S02_N,1,1,1.2319784
W065/S03_N,W094/S01_N,1,1,1.4140214
W084/S02_F,W084/S03_N,0,0,0.6248171
W064/S02_F,W083/S01_F,1,1,1.2832698
W065/S01_F,W065/S01_N,0,0,0.26097003
W094/S01_F,W094/S01_N,0,0,0.43432215
W083/S01_F,W083/S01_N,0,0,0.52851737
W032/S02_N,W083/S02_N,1,1,1.2849118
W082/S03_F,W082/S03_N,0,1,0.8161093
W013/S03_F,W083/S02_F,1,1,0.8043713
W098/S01_F,W098/S03_N,0,0,0.3534138
W065/S03_F,W065/S03_N,0,0,0.36378
W084/S01_F,W084/S01_N,0,1,1.0655037
W027/S02_F,W056/S01_N,1,1,1.2301022
W013/S03_N,W027/S02_F,1,1,0.8891
W016/S01_N,W016/S02_F,0,1,0.853618
W078/S02_F,W078/S03_N,0,0,0.24304059
W064/S01_F,W048/S01_N,1,1,0.84783924
W098/S01_F,W098/S01_N,0,0,0.3335899
W094/S03_F,W098/S01_F,1,1,1.027169
W032/S02_F,W083/S01_F,1,1,1.2565358
W078/S02_N,W016/S03_F,1,1,1.1843753
W098/S02_F,W098/S03_N,0,0,0.34839526
W013/S02_F,W013/S03_N,0,1,0.8201181
W048/S01_N,W048/S02_F,0,0,0.42178556
W027/S01_N,W027/S02_F,0,0,0.27734405
W065/S03_F,W082/S01_F,1,1,1.4035585
W016/S01_F,W016/S03_F,0,0,0.6380698
W064/S01_F,W013/S01_F,1,1,0.97823715
W056/S02_N,W056/S03_F,0,0,0.23705447
W082/S02_F,W082/S03_N,0,0,0.68737113
W082/S02_N,W056/S01_F,1,1,0.92722535
W094/S03_N,W064/S03_N,1,1,1.3504288
W101/S02_N,W078/S03_F,1,1,1.0662231
W013/S01_N,W013/S02_N,0,0,0.5401362
W065/S01_N,W065/S03_F,0,0,0.26150528
W098/S01_N,W098/S03_F,0,0,0.6407632
W048/S01_N,W048/S03_N,0,0,0.12034922
W083/S03_F,W065/S01_N,1,1,1.2775508
W101/S02_F,W101/S03_N,0,0,0.33483046
W064/S03_F,W064/S03_N,0,0,0.58704466
W013/S03_F,W083/S01_F,1,1,0.79876363
W016/S02_F,W056/S01_N,1,1,0.983024
W082/S02_N,W083/S02_N,1,1,1.2214097
W094/S03_N,W013/S02_N,1,1,0.8739301
W016/S02_N,W048/S01_N,1,0,0.57413226
W083/S03_F,W016/S03_N,1,1,1.1569433
W101/S01_F,W078/S03_F,1,1,0.9926832
W078/S01_N,W078/S02_N,0,0,0.08241776
W013/S02_F,W048/S01_F,1,1,1.1291081
W016/S01_N,W016/S03_N,0,0,0.118662246
W084/S03_F,W084/S03_N,0,0,0.73596686
W064/S01_F,W064/S02_F,0,0,0.3581733
W065/S02_F,W084/S02_F,1,0,0.6792789
W048/S03_N,W065/S02_F,1,1,0.89881194
W013/S01_N,W013/S03_N,0,0,0.7331712
W083/S02_F,W083/S03_N,0,0,0.41931006
W016/S01_N,W094/S01_N,1,1,1.3871188
W013/S03_F,W032/S01_F,1,1,1.1120298
W084/S03_F,W048/S01_N,1,1,1.0261177
W082/S01_F,W082/S03_N,0,1,0.8537325
W084/S03_F,W082/S02_N,1,1,0.84852207
W016/S02_F,W083/S03_F,1,1,0.92948794
W013/S01_N,W013/S02_F,0,0,0.563803
W027/S02_N,W065/S02_F,1,1,1.1456001
W016/S01_F,W016/S02_N,0,0,0.39405507
W065/S01_N,W083/S03_F,1,1,1.2775508
W027/S01_F,W027/S03_N,0,0,0.7328005
W083/S01_N,W083/S03_N,0,0,0.30403686
W084/S01_F,W013/S02_N,1,1,1.2584406
W065/S03_N,W013/S03_N,1,1,1.3121092
W064/S01_N,W064/S02_F,0,0,0.64406556
W101/S01_N,W056/S03_N,1,1,1.1754041
W032/S02_N,W032/S03_F,0,1,0.7810449
W027/S02_F,W027/S02_N,0,0,0.38791975
W098/S01_F,W098/S02_N,0,0,0.4221515
W078/S02_F,W032/S03_N,1,1,1.4306
W094/S01_F,W094/S02_F,0,0,0.27981746
W065/S03_N,W078/S02_N,1,1,1.3888525
W084/S01_N,W084/S03_N,0,0,0.54745924
W013/S02_F,W016/S01_N,1,1,1.1695077
W083/S02_F,W083/S03_F,0,0,0.32040435
W048/S02_N,W048/S03_N,0,0,0.1614158
W083/S01_N,W083/S02_F,0,0,0.49711472
W084/S03_N,W016/S03_N,1,0,0.39082897
W016/S01_N,W016/S03_F,0,0,0.6705337
W084/S01_N,W027/S01_N,1,1,1.2758245
W016/S02_F,W084/S01_N,1,1,1.0166739
W064/S03_N,W084/S03_F,1,1,1.020564
W064/S01_N,W084/S03_N,1,0,0.6961131
W064/S02_F,W064/S03_N,0,0,0.71352124
W078/S01_F,W078/S02_N,0,0,0.2697961
W032/S01_F,W083/S03_N,1,1,1.1408604
W101/S03_N,W082/S02_F,1,0,0.6975093
W083/S02_F,W032/S02_N,1,1,1.3985747
W082/S03_F,W013/S01_F,1,0,0.69275033
W065/S02_F,W065/S03_N,0,0,0.5569965
W083/S02_N,W048/S02_F,1,1,0.9515749
W094/S01_N,W094/S03_N,0,0,0.39628592
W078/S02_N,W016/S01_F,1,1,0.88565737
W048/S03_F,W078/S02_N,1,1,1.163792
W083/S01_F,W083/S02_F,0,0,0.12129521
W065/S01_N,W065/S02_F,0,0,0.2790044
W032/S02_F,W032/S03_N,0,0,0.44966635
W082/S02_N,W048/S03_F,1,1,1.1038873
W056/S02_F,W056/S02_N,0,0,0.24672192
W016/S01_F,W016/S01_N,0,0,0.43999323
W048/S01_N,W048/S02_N,0,0,0.11354183
W032/S01_F,W084/S01_F,1,1,0.82840925
W032/S02_N,W094/S02_N,1,1,1.3359725
W048/S02_F,W048/S02_N,0,0,0.37551972
W016/S01_F,W016/S03_N,0,0,0.46857315
W016/S01_F,W016/S02_F,0,0,0.6543764
W094/S02_F,W094/S03_N,0,0,0.3395329
W083/S03_F,W084/S02_N,1,1,1.2442075
W032/S01_F,W032/S03_F,0,0,0.5249162
W032/S03_F,W032/S03_N,0,1,0.7544937
W032/S03_N,W083/S02_F,1,1,1.4297067
W084/S01_N,W016/S02_F,1,1,1.0166739
W101/S02_F,W101/S02_N,0,0,0.26195076
W101/S02_F,W032/S02_F,1,1,0.77296525
W083/S02_F,W083/S02_N,0,0,0.49522394
W083/S03_N,W101/S01_F,1,1,1.0655868
W048/S01_F,W016/S03_N,1,1,0.8073412
W084/S03_N,W098/S01_N,1,1,1.2806357
W032/S01_F,W032/S03_N,0,1,1.1106886
W032/S03_N,W078/S03_N,1,1,1.4340447
W048/S01_F,W048/S02_N,0,0,0.19681793
W101/S02_F,W101/S03_F,0,0,0.477556
W065/S03_F,W032/S01_N,1,0,0.29008144
W083/S02_N,W083/S03_N,0,0,0.2869254
W032/S02_N,W032/S03_N,0,0,0.120525226
W094/S01_F,W098/S01_N,1,1,1.0868939
W094/S02_N,W064/S03_F,1,1,1.1409922
W048/S01_N,W027/S03_N,1,1,1.2812824
W016/S01_F,W064/S02_F,1,0,0.65544444
W084/S01_N,W084/S02_N,0,0,0.3481111
W078/S01_F,W078/S03_F,0,0,0.12346079
W065/S03_F,W013/S01_N,1,1,1.19796
W083/S01_N,W083/S02_N,0,0,0.37267062
W084/S02_F,W084/S03_F,0,0,0.35645363
W064/S01_N,W032/S03_N,1,1,1.0129681
W065/S01_F,W032/S02_N,1,0,0.508479
W013/S02_N,W032/S02_N,1,1,1.1366622
W013/S02_F,W013/S02_N,0,0,0.40509588
W098/S01_N,W098/S03_N,0,0,0.116608724
W094/S01_F,W094/S03_N,0,0,0.2610178
W056/S02_F,W056/S03_N,0,0,0.34555823
W056/S02_N,W056/S03_N,0,0,0.30426583
W094/S01_F,W094/S03_F,0,0,0.16967145
W016/S02_F,W016/S03_F,0,0,0.41491127
W101/S02_N,W101/S03_N,0,0,0.19401976
W083/S02_N,W084/S01_N,1,1,0.75271803
W048/S01_N,W032/S01_N,1,1,0.8173954
W048/S02_F,W027/S01_F,1,1,1.327563
W027/S01_N,W064/S02_F,1,1,1.2105772
W027/S01_F,W027/S02_F,0,0,0.22689715
W065/S01_F,W065/S02_N,0,0,0.16227002
W078/S01_F,W078/S02_F,0,0,0.11012624
W078/S02_F,W078/S02_N,0,0,0.22620136
W013/S02_F,W098/S03_F,1,0,0.5586446
W013/S02_N,W013/S03_N,0,0,0.4809243
W032/S02_F,W084/S02_N,1,1,0.8978049
W013/S01_N,W078/S03_N,1,1,0.9618035
W016/S02_N,W016/S03_N,0,0,0.26616457
W082/S01_F,W094/S03_F,1,1,0.78131706
W083/S02_N,W083/S03_F,0,0,0.5729619
W094/S01_N,W094/S02_F,0,0,0.63527757
W083/S03_F,W098/S02_F,1,1,0.9677933
W027/S01_N,W027/S03_N,0,0,0.59842783
W013/S02_N,W013/S03_F,0,0,0.28702977
W094/S01_N,W078/S01_N,1,1,1.0958538
W048/S02_N,W064/S01_F,1,1,0.84615874
W064/S02_N,W064/S03_F,0,0,0.49350008
W094/S01_N,W101/S02_N,1,0,0.5486161
W083/S02_F,W101/S02_N,1,1,1.1301279
W056/S02_F,W056/S03_F,0,0,0.30582517
W056/S03_F,W083/S02_N,1,1,0.95224845
W048/S02_F,W048/S03_N,0,0,0.3833173
W032/S01_F,W083/S02_F,1,1,1.2951916
W101/S03_F,W048/S02_F,1,1,1.2683717
W101/S01_F,W101/S02_N,0,0,0.2990271
W065/S03_N,W098/S01_F,1,1,1.2786423
W027/S01_F,W027/S01_N,0,0,0.18157062
W082/S01_F,W048/S01_F,1,1,1.2019516
W065/S01_F,W065/S03_F,0,0,0.09893225
W048/S01_N,W098/S01_N,1,1,1.1759834
W083/S03_F,W083/S03_N,0,0,0.37551093
W064/S02_N,W082/S03_F,1,1,1.3554757
W013/S01_F,W013/S03_N,0,1,0.85165095
W016/S01_N,W078/S03_F,1,1,1.198724
W094/S02_N,W098/S02_F,1,1,0.9262097
W016/S01_N,W016/S02_N,0,0,0.18270092
W032/S03_F,W065/S02_F,1,1,1.0835414
W013/S01_F,W094/S01_N,1,0,0.5315494
W101/S01_F,W098/S02_N,1,1,0.8521557
W016/S01_N,W082/S03_F,1,1,1.3473272
